text,intent
selam mate,greeting
"greetings, schedule for does placement start",admission
is it true that what a letter of acceptance looks like and when i should expect to receive it,admission
can we chat {please},greeting
"so my question is regarding thanks for your time, i am leaving the session",bye
wherre to find the support,contacts
"hey bot, i need some quick advice about got it, i will reach out later if i need more info. bye",bye
how many credit hours i need to take to graduate from the pharmacy program,courses
does anyone know if i can take a minor in business administration alongside my engineering degree,courses
is the stadium nearby,location
i really need to understand if someone can give me directions to the university stadium or sports complex,location
i'm a bit stuck trying to understand if there is a specific fee waiver available for students with recognized disabilities,scholarship
requirements for enrollent,admission
hello i need some assistance friend,greeting
my prof told me to check greetings from a confused first year student,greeting
quick question: finals routine,exam
please guide me on if the dormitories force students to leave during the long winter break,holidays
"could you shed some light on alright that makes sense, i'm gonna log off now",bye
can you explain if the dormitories force students to leave during the long winter break for me please,holidays
would you mind telling me whether we get consistent wifi and electricity inside the campus accommodation blocks because i am confused,hostel
does anyone know what i should do because i completely missed the late reg deadline,registration
"is it true that got it, i will reach out later if i need more info. bye",bye
can smeone tell me how i can apply for postgraduate admission if i already have my bachelor's degree,admission
"hey there, i am trying to find out if there is a way to do late registration without paying a massive fee",registration
can someone tell me the process for filing a formal grade appeal if i think my prof made a mistake,results
could you please tell me requirements for transfer,admission
hey how to et my honor roll,results
enrollment process,registration
if the university website has a live chat feature for immediate customer service,contacts
yo when do we close for day off,holidays
i'm a bit stuck trying to understand what happens to my reg status if i have an overdue penalty payment,fees
terminate,bye
give me is the final timetable,exam
i would like to inquire: which building is the clinic in,location
could you please tell me when do we close for break,holidays
please guide me on what the schedule looks like for the annual university sports week and cultural day,holidays
please show the final academic calendar,exam
greetings bot,greeting
i want to know the school fee,fees
can i pay cafeteria fee in installments,fees
ok hello {bot} man,greeting
"i need details on i totally understand now, appreciate the detailed response as soon as possible",thanks
is there classs tomorrow,holidays
timingf or is the semester rest day,holidays
im a freshman and i really need to know what i need to do if i urgently want to change my current hostel room,hostel
talk to you later assistant,bye
just a quick question: greetings from a confused first year student,greeting
sup refund policy of the school fee,fees
could you shed some light on if the library and cafeterias stay open during the mid semester reading week,holidays
i am looking for information on how many credit hours i need to take to graduate from the pharmacy program,courses
can you explai nhow i can find the official email address for the head of the cs department for me please,contacts
i am trying to figure out how i can request a student copy of my transcript for personal use today,results
i am trying to figure out if there is a comprehensive staff directory where i can find my prof's contact info today,contacts
well good morning,greeting
"hey there, i am trying to find out if online enrollment is still open for us this semester",registration
how to get my transcript,results
"i really need to understand hello campus assistant, i need your guidance",greeting
"could you please claarify okay i am done asking questions, shutting down the chat",bye
quick question: leaving the student residence,hostel
quick question: tell me about the arts degree,courses
see you pls,bye
"hey bot, i need some quick advice about if we actually have any classes schedueld during the upcoming holiday week",schedule
hey what are is the next day off,holidays
"hey bot, i need some quick advice about when the actual test dates for the midterms will be officially announced",exam
"can you explain where the university posts its official announcements, like a telegram channel or facebook page for me please",contacts
transfer student status of,admission
how exactly do i handle what kind of undergraduate degree programs are currently open for new students,courses
quick question: leaving the dorm,hostel
change accommodation room,hostel
my prof told me to check is there a human or a bot here to help me,greeting
yo let me know the academic calendar for this semester,schedule
"could you please clarify thanks for your time, i am leavnig the session",bye
does anyone know if we get any days off classes to celebrate national public holidays like eid or christmas,holidays
do you happen to know where i log in to check my official admission status or moe placement result,admission
could yoou shed some light on where the heck the freshman orientation is being held today,location
i need the routine for masters program,schedule
"i have no idea hey, i could really use some help navigating the unversity stuff",greeting
campus map couldd you,location
can i pay semester fee in intsallments,fees
leave mate,bye
where to pay cafeteria fee,fees
i would like to inquire: list days of the week do we have the software engineering tutorial,schedule
you are the best dude,thanks
close now,bye
location of is the make up exam held,exam
exactly what i needed mate,thanks
what classes are offered in pharmacy,courses
im confused about how i can request a student copy of my transcript for personal use,results
just a quick question: where i can view my complete semester timetable online without going to the office,schedule
"hey i want to study accounting, can i see are the electives",courses
im a freshman and i really need to know good morning to whoever is managing this chat,greeting
can you explain what the cut off mark or passing point is for the national entrance exam this year for me please,admission
could you please tell me passing makr for final,exam
just a quick question: where i should go to report a broken window or plumbing issue in my dorm room,hostel
perfect now,thanks
"hey bot, i need some quick advice about what the passing mark is for the national exit exam in engineering",exam
just a quick question: what original documents i need to physically bring during the new student enrollment,admission
would you mind telling me which specific bank account number i should use to transfer my dorm and cafeteria fees because i am confused,fees
cool thanks assistant,thanks
what is the deal with what a failing f grade does to my overall academic standing and honor roll chances,results
can you explain what the cut off mark or passing point is for th national entrance exam this year for me please,admission
quick question: campus map pls,location
call the dean,contacts
would you mind telling me greetings from a confused first yaer student because i am confused,greeting
can you explain how i can request a student copy of my transcript for personal use for me please,results
"i need details on hi there, are you available to chat for a minute as soon as possible",greeting
"i'm totally lost, can you explain i totally understand now, appreciate the deatiled response",thanks
my friend asked me about good morning to whoever is managing this chat and i don't know the answer,greeting
pay the cost sharing,fees
my friend asked me about if i can take a minor in business administration alongside my engineering degree and i don't know the answer,courses
i am looking for information on how i can find the official email address for the head of the cs department,contacts
does anyone know how course reg works for freshmen coming in this year,registration
how exactly do i handle the exact deadline for submitting the application forms for the dean's list award,scholarship
is it true that if there is a specific fee waiver available for students with recognized disabilities,scholarship
inform me the day off calendar,holidays
when do we close for event,holidays
im a freshman and i really need to know how to reach out directly to the president's office for a formal academic inquiry,contacts
tell me about dormitory,hostel
"greetings, do you offer fee waiver",scholarship
is it true that what happens to my registration status if i have an overdue penaltty payment,fees
cmplain about my score,results
how to navigate to toilet,location
i need details on how a student with a high gpa can actually apply for merit based financial aid as soon as possible,scholarship
just a quick question: when the continuous assessment period is supposed to start according to the scheduel,schedule
clarify about student loan,scholarship
"could you shed some light on that's all i needed to know, goodbye for now",bye
can i see disciplines are available in the accounting college,courses
perfect mate,thanks
hey date for do classes start,schedule
what are is the next weekend,holidays
"im a freshman and i really need to know hey guys, hoping someone can answer my questions today",greeting
please guide me on which depts actually offer postgraduate studies or masters degrees,courses
sup bot,greeting
hi there pls,greeting
is the test hard,exam
could you shed some light on if the faculty of arts offers any short term certificate courses,courses
would you mind telling me what happens if i forget to register before the system closes because i am confused,registration
can you explain the exact location of the campus cafeteria that serves vegan food for m please,location
"greetings, is there any financial aid",scholarship
can someone tell me the emergency contact number for the campus police or the student health clinic,contacts
can you explain the exact steps to add or drop a module before the penalty kicks in for me please,registration
can someone tell me where the heck the freshman orientation is being held today,location
"can someone tell me you are a lifesaver, thanks bot",thanks
sup steps to to process of entrance exam,admission
so my question is regarding is there a human or a bot here to help me,greeting
good job bot,thanks
"i was wondering if you could help me figure out thanks for your time, i am leaving the session",bye
would you mind telling me how i can generate a digital payment receipt after paying via cbe birr or telebirr because i am confused,fees
sup tell me about enrollment,admission
my friend asked me about if the weekend extension program follows the exact same semester calendar and i don't know the answer,schedule
does anyone know what happens if i forget to register before the system closes,registration
hey what is is the midterm results,exam
im confused about good morning to whoever is managing this chat,greeting
if we get any days off classes to celebrate national public holidays like eid or christmas,holidays
"i need details on that's all i needed to know, goodbye for now as soon as possible",bye
leaving the dromitory,hostel
"i'm totally lost, can you explain awesome, thanks for the clarification on that",thanks
guide me to to contact department head,contacts
"hey there, i am trying to find out the difference between the software engineering and regular computer science majors",courses
thank you for the informatin bot,thanks
abort bot,bye
"i am looking for info on okay bye, thanks for pointing me in the right direction",bye
my friend asked me about what the strict rules are regarding bringing calculators into the exam hall and i don't know the answer,exam
i was wondering if you could help me figure out what the exact formula is to correctly calculate my cumulative gpa,results
could you shed some light on if the university provides any sort of monthly stipend or living allowance,scholarship
am i admittted,admission
could you please tell me i need the routine for bachelors program,schedule
my prof told me to check if the university admission office accepts late applications under special circumstances,admission
when is is the enrollment dates,registration
"i'm totally lost, can you explain alright that makes sense, i'm gonna log off now",bye
give me the date of is my next lecture,schedule
i am looking for info on where i should go to report a broken window or plumbing isue in my dorm room,hostel
i needt he curriculum for social sciences,courses
kindly list all weekends,holidays
could you shed some light on what the cut off mark or passing point is for the national entrance exam this year,admission
could you shed some light on if the faculty of ats offers any short term certificate courses,courses
i would like to inquire: let me know the day off calendar,holidays
quick question: help desk number,contacts
i am trying to figure outt when the absolute final deadline is for paying this semester's tuition without a penalty today,fees
where is is the exit exam held,exam
please guide me on if master's degree students have a completely different fee structure than undergrads,fees
quick question: how to join the university,admission
how to join the univeersity,admission
i'm a bit stuck trying to understand if the university offers any fully funded sponsorship opportunties for international students,scholarship
can you explain what kind of undergraduate degree programs are currently open for new students for me please,courses
what is the deal with if the university admission office accepts late aapplications under special circumstances,admission
"i'm a bit stuck trying to understand thanks for the chat, i have to ru nto my next class",bye
"i really need to understand hello, i am a new student and i need some assistance",greeting
what are is the bed space fee,hostel
ok is this the student information bot pls,greeting
i'm a bit stuck trying to understand what the syllabus looks like for the introduction to economics class,courses
selam man,greeting
please guide me on if tomorrow is considered a public rest day meaning we don't have to attend lectures,holidays
could you please clarify what the strict eligibility criteria are for the need based scholarship program,scholarship
"my prof told me to check that's all i needed to know, goodbye for now",bye
i am looking fori nfo on how to apply for a student loan to cover the heavy tuition costs,scholarship
"would you mind telling me hello, i am new student and i need some assistance because i am confused",greeting
clarify the exit exam dates,exam
would you mind telling me how i can find the official email address for the head of the cs dept because i am confused,contacts
can you explain if i can take a minor in business administration alongside my engineering degree for me please,courses
what is the way to to opportunities for allowance,scholarship
tell me the contact info,contacts
would you mind telling me why my final mark for data structures is showing up as missing on the system because i am confused,results
what is the deal with whether there are any special campus events planned for the alumni homecoming weekend,holidays
do you happen to know how to apply for a student loan to cover the heavy tuition costs,scholarship
the process for filing a formal grade appeal if i think my professor made a mistake,results
plz inform me where is the cafeteria is,location
yo am i registered,registration
which building houses the finance office so i can pay my tuition,location
"greetings, please print my score",results
see ya,bye
kindly i need the comprehensive exam schedule,exam
i need some urgent help with how i can get a copy of my official transcript for an external internship application,results
call the departmnt head,contacts
i'm abit stuck trying to understand if we get any days off classes to celebrate national public holidays like eid or christmas,holidays
passing mark for national exam,exam
how exactly do i handle if tomorrow is considered a public rest day meaning we don't have to attend lectures,holidays
im a freshman and i really need to know how the formal admission process works for students transferring from another university,admission
how to get my honor roll,results
im a freshman and i really need to know where i need to take my bank slip to get financial clearance from the admin,fees
got it thanks dude,thanks
what classes are offered in law,courses
can i se the academic shift,schedule
so my question is regarding what documents are absolutely required when applying for the campus bursary grant,scholarship
yo what is the passing gpa,results
i am trying to figure out where i need to take my bank slip to get financial clearance from the admin today,fees
"my friend asked me about okay i am done asking questions, shutting down the chat and i don't know the answer",bye
hey {bot} mate,greeting
"is it true that i have no more questions right now, so peace out",bye
sup what subjects are available,courses
i am looking for info on if online enrollment is still open for us this semester,registration
i have no idea where i need to take my bank slip to get financial clearance from the admin,fees
i need the timetable for diploma program,schedule
can i see is my class times,schedule
could you give me the help desk,contacts
could you shed some light on which building houses the finance office so i can pay my tuition,location
i really need to understand the exact steps to add or drop a module before the penalty kicks in,registration
"just a quick question: i totally understand now, appreciate the detailed response",thanks
sup finals timings,exam
i am trying to figure out just popping in to say hi and ask a quick thing today,greeting
my friend asked me about if the dormitories force students to leave during the long winter break and i don't know the answer,holidays
i was wondering if you could help me figure out how a student with a high gpa can actually apply for merit based financial aid,scholarship
transfer student process of,admission
entrance exam for enrollment,admission
how to navigate to library,location
does anyone know if there is a specific fee waiver available for students with recognized disabilities,scholarship
hey how to to do clearance,registration
kindly i want to know how to get a bed space,hostel
my prof told me to check the easiest way to navigate to the student clinic if i am coming from the dorms,location
can you explain why i keep getting lost trying to find the computer lab in block 5 for me please,location
i'm a bit stuck trying to understand when the university officially closes down for the long summer vacation break,holidays
how i can fix my schedule if the reg portal is showing an error,registration
give me the physical address of the architecture department,location
when dose the semester end,schedule
missinng grade complaint,results
"i need some urgent help with hey, i could really use some help navigating the university stuff",greeting
weekend break,holidays
"what is the deal with have a great rest of your day, i am logging out",bye
would you mind telling me what a failing f grade does to my overall academic standing and honor roll chances because i am confused,results
hey brilliant today,thanks
kindly where is block 5 situated,location
kindly clarify where to register,registration
is this the student information bot assistant,greeting
my friend asked me about how i can fix m scheduel if the reg portal is showing an error and i don't know the answer,registration
what time is will grade be out,results
i'm a bit stuck trying to understand ifonline enrollment is still open for us this semester,registration
"my friend asked me about that's all i needed to know, goodbye for now and i don't know the answer",bye
when do we close forw eekend,holidays
i have no idea when the university offiically closes down for the long summer vacation break,holidays
"would you mind telling me that perfectly answered my question, cheers because i am confused",thanks
could you please tell me give me info on about entrance exam,admission
quick question: change student residence room,hostel
freshman clearance,registration
"could you please clarify you are a lifesaver, thanks bot",thanks
suport email,contacts
my friend asked me about just popping inn to say hi and ask a quick thing and i don't know the answer,greeting
would you mind telling me the specific clearance process i have to follow when moving out of the hostel because i am confused,hostel
"just a quick question: awesome, thanks for the clarification on that",thanks
"hi there, are you available to chat for a minute",greeting
please guide me on greetings from a confused first year student,greeting
why i keep getting lost trying to find the computer lab in block 5,location
please guide me on whether there are any special campus events planned for the alumni homecoming weekend,holidays
can you explain where the registrar office is actually located on the main campus for me please,location
i would like to inquire: schedule for is the mid semester weekend,holidays
well sup mate,greeting
"okay bye, thanks for pointing me in the right direction",bye
fully funded stipend,scholarship
"im confused about okay perfect, thank you for taking the time to explain",thanks
give me info on about registration,admission
could you shed some light on how the evening shift class timings differ from the regular daytime routine,schedule
the rules regarding bringing heavy electrical appliances into the campus housing,hostel
is medicine a major here,courses
just a quick question: if online enrollment is still open for us this semester,registration
im confused about if the dormitories force students to leave during the long winter break,holidays
ssup can you list the available majors,courses
"hey there, i am trying to find out if the dormitories force students to leave during the long winter break",holidays
do you appen to know how the comprehensive exam is structured for graduating seniors,exam
"hey bot, i need some quick advice about the difference between the software engineering and regular cs majors",courses
my friend asked me about the process for filing a formal grade appeal if i think my professor made a mistake and i don't know the answer,results
yo dude,greeting
im a freshman and i really need to know how to find the faculty of business administration dean's office,location
sup late dorm fee penalty,fees
i need my official trancsript,results
could you shed some light on whether the supplementary exams happen before or after the semester break,exam
hey where to pay registration fee,fees
im confused about where i go to get clearance before they will hand over my final transcript,results
clarify about the architecture degree,courses
i was wondering if you could help me figure out what time the computer architecture test starts tomorrow morning,exam
can you explain where i can view my complete semester timetable online without going to the office for me please,schedule
yo i need is the registration deadline,registration
"i was wondering if you could help me figure out i totally understand now, appreciate the detailed response",thanks
hey guide me to to do registration,registration
do you happen to know what time the afternoon tutorial for applied mathematics usually ends,schedule
do you happen to know where i can find a legitimate sponsor to help cover my cost sharing expenses,scholarship
{please} help me pls,greeting
"could you shed some light on you are a lifesaver, thanks bot",thanks
hi can you provide me with some info man,greeting
does anyone know if the cs dept has any artificial intelligence electives this term,courses
sup can you help me find the freshman building,location
my friend asked me about how i am supposed to get to the engineering building from the main librery and i don't know the answer,location
hey how to get my academic recrod,results
steps to to criteria for sponsor,scholarship
when is is the public day off,holidays
what is the deal with who i should contact if i have a serious complaint about a specific faculty member,contacts
so my question is regarding if there are any makeup classes planned for the lectures we missed last monday,schedule
"hey bot, i need some quick advice about where the heck the freshman orientation is being held today",location
could you shed some light on when the continuous assessment period is supposed to start according to the scheduel,schedule
what time is the exi texam,exam
i really need to understand if there is a specific fee waiver available for students with recognized disabilities,scholarship
sup tell me the day off calendar,holidays
kindly give me the website,contacts
i would like to inquire: timing for is the registration requirements,registration
sup do you offer stipend,scholarship
catch you later bot,bye
my friend asked me about what the passing mark is for the national exit exam in engineering and i don't know the answer,exam
im confused about where i should go to report a broken window or plummbing issue in my dorm room,hostel
ok good job man,thanks
sup clarify about registration,registration
yo what is majors do you have,courses
what the direct phone number is for the main registrar's office,contacts
give me the date of will academic record be out,results
plz i want to know how to get student loan,scholarship
yo is thereany fee waiver,scholarship
"thanks for your time, i am leaving the session",bye
could you please tell me i need the curriculum for mechanical engineering,courses
"hey there, i am trying to find out how a student with a high gpa can actually apply for merit based financial aid",scholarship
entrance exam for placement,admission
kindly inform me about the economics degree,courses
how i can get a copy of my official transcript for an external internship application,results
i need details on where i can sceurely check my semester grades online through the student portal as soon as possible,results
"i'm totally lost, can you explain where i can find the academic calendar that outlines all the semester rest days",holidays
i need some urgent help with when hte academic records office will finally release the graduation results,results
i really need to understand what the specific date is for the upcoming graduation ceremony event,holidays
do you happen to know how the proctor decides which bed space belogns to which student in a shared room,hostel
please guide me on where the registrar office is actually located on the main campus,location
can you explain where i need to take my bank slip to get financial clearance from the admin for me please,fees
"i'm totally lost, can you explain if the library and cafeterias stay open during the mid semester reading week",holidays
could you please clarify how to reach out directly to the president's office for a formal academic inquirry,contacts
"greetings, give me info on about dormitory",hostel
just a quick question: how the comprehensive exam is structured for graduating seniors,exam
how exactly do i handle where i can securely check my semester grades online through the student portal,results
i'm a bit stuck trying to understand how many credit hours i need to take to graduate from the pharmacy program,courses
"would you mind telling me brilliant, i appreciate you sorting that out for me because i am confused",thanks
could oyu please tell me enrollment process,registration
i need details on what a letter of acceptance looks like and when i should expect to receive it as soon as possible,admission
pasing mark for national exam,exam
could you shed some light on wh oi should contact if i have a serious complaint about a specific faculty member,contacts
howdy dudde,greeting
"greetings, how to tof ind stipend",scholarship
"brilliant, i appreciate you sorting that out for me",thanks
is it true that where the registrar office is actually located on the main campus,location
im confused about the physical p.o. box or zip code i should use if i want to mail a document to the admin,contacts
could you shed some light on what happens if i forget to register before the system closes,registration
could you please clarify what happens to my registration status if i have an overdue penalty payment,fees
im confused about how i can generate a digital payment receipt after paying via cbe birr or telebirr,fees
my friend asked me about when the post exam break officially starts so i can book my bus ticket home and i don't know the answer,holidays
i want to know the penalty,fees
"can you explan got it, i will reach out later if i need more info. bye for me please",bye
quick question: can i see is the next ceremony,holidays
ok ince one bot,thanks
"i'm a bit stuck trying to understand that is exactly what i was looking for, much obliged",thanks
wsgg now,greeting
where to pay cost sharing,fees
"would you mind telling me awesome, thanks for the clarification on that because i am confused",thanks
my prof told me to check if it is possible to pay the heavy school fees in smaller monthly installments,fees
just a quick question: if master's degree students have a completely different fee structure than undergrads,fees
"i am looking for informaton on that's all i needed to know, goodbye for now",bye
i was wondering if you could help me figure out the specific clearance process i have to follow when moving out of the hostel,hostel
i would like to inquire: plz inform me the routine for for seniors,schedule
would you mind telling me what the exact formula is to correctly calculate my cumulative gpa because i am confused,results
sup assistant,greeting
yo give me time does the class end,schedule
im a freshman and i really need to know where i should go to report a broken window or plumbing issue in my dorm room,hostel
i really need to understand if there is a specific fee waiver available for students with recognized disabiltiies,scholarship
can i see is my calendar,schedule
please guide me on how many credit hours i need to take to graduate from the pharmacy program,courses
"my prof told me to check hey, i could really use some help navigating the university stuff",greeting
my friend asked me about how to apply for a student loan to cover the heavy tuition costs and i don't know the answer,scholarship
my prof told me to check what i need to do if i urgently want to change my current hostel room,hostel
how exactly do i handle if there are any makeup classes planned for the lectures we missed last monday,schedule
plz list all vacations,holidays
transfer student requirement for,admission
can you explain the rules regarding bringing heavy electrical appliances into the campus housing for m eplease,hostel
show me disciplines are available in the engineering college,courses
show thee national exam academic calendar,exam
give me the course outline for architecture,courses
can someone tell me how course registration works for freshmen coming in this year,registration
thanks {bot} pls,thanks
could you please tell me enrollment process,registration
"please guide me on have a great rest of your day, i am logging out",bye
"hey bot, hope you're having a good day",greeting
adios today,bye
late school fee penalty,fees
"hey there, i am trying to find out hi there, are you available to chat fora minute",greeting
ty,thanks
sup proecss for to criteria for entrance exam,admission
does anyone know whether the supplementary exams happen before or after the semester break,exam
i need some urgent help wih the specific clearance process i have to follow when moving out of the hostel,hostel
"how exactly do i handle that is exactly what i was looking for, much obliged",thanks
i was wondering if you could help me figure out how course reg works for freshmen coming in this year,registration
late enrollment,registration
"how exactly do i handle thanks for the chat, i have to run to my next class",bye
dorm assiignment,hostel
please guide me on what the routine looks like for the annual university sports week and cultural day,holidays
super helpful,thanks
when do we close for cremony,holidays
