text,intent
hello,greeting
hi,greeting
hey,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
greetings,greeting
howdy,greeting
hi there,greeting
hello there,greeting
what's up,greeting
yow,greeting
selasi,greeting
hi bot,greeting
hello chatbot,greeting
good day,greeting
hiya,greeting
heyy,greeting
hullo,greeting
is anyone there,greeting
morning,greeting
evening,greeting
afternoon,greeting
helo,greeting
hihi,greeting
heya,greeting
wazup,greeting
sup,greeting
yo,greeting
any one here,greeting
hye,greeting
selam,greeting
selm,greeting
hi fren,greeting
dear bot,greeting
greetings chatbot,greeting
hiiii,greeting
hiii,greeting
hlo,greeting
heloo,greeting
hay,greeting
hie,greeting
heyyy,greeting
aloha,greeting
hola,greeting
namaste,greeting
wsg,greeting
good to see you,greeting
nice to meet you,greeting
hi buddy,greeting
when is registration,registration
registration dates,registration
enrollment process,registration
late registration,registration
how to register,registration
where do i register,registration
regstration date,registration
registration deadline,registration
open for registration,registration
register for classes,registration
when can i enroll,registration
add drop period,registration
late enroll,registration
deadline for registration,registration
how do i register,registration
registraton schedule,registration
sign up for classes,registration
am i registered,registration
registeration time,registration
online registration,registration
register portal,registration
what is the process to register,registration
when is add and drop,registration
add/drop dates,registration
can i register now,registration
is registration open,registration
register for next semester,registration
enrollment deadline,registration
late add drop,registration
registration penalty,registration
how much is late registration,registration
do i have to register,registration
self sponsored registration,registration
regular registration,registration
extension registration,registration
evening registration,registration
registartion,registration
registation,registration
how to do enrollment,registration
enrollment requirements,registration
register online,registration
clearance for registration,registration
what is needed to register,registration
fresh student registration,registration
returning student registration,registration
registration for freshmen,registration
when is freshman registration,registration
senior registration,registration
enroll classes,registration
pick classes,registration
what subjects are offered,courses
available courses,courses
departments,courses
list of classes,courses
what courses do you have,courses
degree programs,courses
available subjects,courses
list of courses,courses
what is taught here,courses
computer science courses,courses
engineering departments,courses
business courses,courses
medicine subjects,courses
can i see the subjects,courses
which courses are available,courses
course catalog,courses
course list,courses
what classes can i take,courses
offered courses,courses
subjects list,courses
department list,courses
faculties,courses
what are the faculties,courses
colleges in the university,courses
majors offered,courses
what can i study,courses
available majors,courses
field of study,courses
programs offered,courses
ug programs,courses
pg programs,courses
undergraduate courses,courses
postgraduate courses,courses
masters courses,courses
phd programs,courses
short courses,courses
summer courses,courses
evening courses,courses
extension programs,courses
fresh courses,courses
common courses,courses
elective courses,courses
what are the electives,courses
core modules,courses
credit hours,courses
how many credits per course,courses
subject syllabus,courses
course outline,courses
coursess,courses
subjets,courses
class timetable,schedule
lecture times,schedule
when is my class,schedule
class schedule,schedule
daily schedule,schedule
time table,schedule
academic calendar,schedule
when do classes start,schedule
schedule for this week,schedule
today's classes,schedule
my timetable,schedule
lecture schedule,schedule
class timings,schedule
what time is the lecture,schedule
when does the class end,schedule
class shift,schedule
morning shift,schedule
afternoon shift,schedule
evening class time,schedule
schedule for extension,schedule
timetable for regular,schedule
where is the schedule,schedule
can i see my timetable,schedule
class hours,schedule
lab schedule,schedule
tutorial schedule,schedule
when is the tutorial,schedule
make up class schedule,schedule
schedule,schedule
timetable,schedule
time-table,schedule
schedul,schedule
schdule,schedule
when do we start classes,schedule
semester schedule,schedule
yearly calendar,schedule
academic year schedule,schedule
calendar,schedule
when does the semester end,schedule
class times,schedule
lecture hours,schedule
contact hours,schedule
weekly schedule,schedule
monday classes,schedule
weekend schedule,schedule
saturday class,schedule
sunday class,schedule
block schedule,schedule
schedule for cs,schedule
timetable for fresh,schedule
exam dates,exam
test schedule,exam
mid exam,exam
final exam,exam
when is the exam,exam
exam time table,exam
test timetable,exam
midterm date,exam
final date,exam
when are we taking exams,exam
exam schedul,exam
exam calender,exam
when is the test,exam
quiz schedule,exam
exam center,exam
what time is the exam,exam
final exam schedule,exam
mid exam date,exam
examination period,exam
when does the exam start,exam
exit exam,exam
national exam date,exam
coc exam,exam
comprehensive exam,exam
make up exam,exam
re-exam date,exam
supplementary exam,exam
exam rules,exam
passing mark,exam
what is the passing grade,exam
is the exam hard,exam
exam timetable,exam
exam location,exam
where is the exam,exam
online exam,exam
offline exam,exam
